"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-06-26",,,,,,,"0.23",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-06-27",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-06-28",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-06-29",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-06-30",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-01",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-02",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-03",,,,,,,"1.94",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-04",,,,,,,"0.94",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-05",,,,,,,"0.17",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-06",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-07",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-08",,,,,,,"0.21",,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-09",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-10",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-11",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-12",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-13",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2014-07-14",,,,,,,"0.31",,,,,,,,,,,,,,,,,,,,,,,,
